outcome_variable,predictor_variable,n_lgas,pearson_correlation,spearman_correlation
vulnerable_pct_dv1,services_per_10000_population,454,0.06081167932389502,0.02745261103390614
vulnerable_pct_dv1,approved_places_per_10000_population,454,-0.16631904520251828,-0.17536241265073763
vulnerable_pct_dv1,services_per_1000_valid_aedc_dv2_scores,454,-0.07739452887009582,-0.10033442382288993
vulnerable_pct_dv1,approved_places_per_1000_valid_aedc_dv2_scores,454,-0.2560889508171941,-0.2473799329995872
vulnerable_pct_dv1,pct_high_quality_services,447,-0.18621369255312906,-0.18314713114362222
vulnerable_pct_dv1,pct_below_meeting_nqs_services,447,0.2073582298550553,0.20727958097028598
vulnerable_pct_dv1,mean_nearest_transport_distance_km,447,0.39055227726150343,0.3486651750302494
vulnerable_pct_dv1,median_nearest_transport_distance_km,447,0.38046521093848196,0.2820322187444955
vulnerable_pct_dv1,pct_within_1km_any_transport,447,-0.14564750685007327,-0.21751490822842257
vulnerable_pct_dv1,pct_farther_than_5km_any_transport,447,0.2694136001741241,0.2956012829433909
vulnerable_pct_dv2,services_per_10000_population,456,0.09469531664611373,-0.001522212272978472
vulnerable_pct_dv2,approved_places_per_10000_population,456,-0.12524336646009038,-0.172161313554303
vulnerable_pct_dv2,services_per_1000_valid_aedc_dv2_scores,456,-0.06847415022102035,-0.11177207296871469
vulnerable_pct_dv2,approved_places_per_1000_valid_aedc_dv2_scores,456,-0.23098990747526826,-0.23835204161451265
vulnerable_pct_dv2,pct_high_quality_services,449,-0.0925424436851088,-0.1423120178408453
vulnerable_pct_dv2,pct_below_meeting_nqs_services,449,0.13502787948695413,0.1292375246592805
vulnerable_pct_dv2,mean_nearest_transport_distance_km,449,0.3823398298530091,0.3082658162041532
vulnerable_pct_dv2,median_nearest_transport_distance_km,449,0.36313179342622415,0.2446794890479583
vulnerable_pct_dv2,pct_within_1km_any_transport,449,-0.11869896873753287,-0.18090118555427895
vulnerable_pct_dv2,pct_farther_than_5km_any_transport,449,0.24486017135093305,0.2632846102017654
vulnerable_pct_language,services_per_10000_population,456,0.0699885782789028,0.0006803811045533064
vulnerable_pct_language,approved_places_per_10000_population,456,-0.19332607117198852,-0.23007498904814838
vulnerable_pct_language,services_per_1000_valid_aedc_dv2_scores,456,-0.06479942058286084,-0.13972048379405594
vulnerable_pct_language,approved_places_per_1000_valid_aedc_dv2_scores,456,-0.2698184073250947,-0.3173969812124692
vulnerable_pct_language,pct_high_quality_services,449,-0.12095622916343232,-0.21827990083499743
vulnerable_pct_language,pct_below_meeting_nqs_services,449,0.1600057388782563,0.18428871533687524
vulnerable_pct_language,mean_nearest_transport_distance_km,449,0.4483211442277394,0.3758718099529107
vulnerable_pct_language,median_nearest_transport_distance_km,449,0.4327573983257851,0.31311992143146367
vulnerable_pct_language,pct_within_1km_any_transport,449,-0.13128092999746901,-0.21338437930450135
vulnerable_pct_language,pct_farther_than_5km_any_transport,449,0.26509960075707734,0.3054474766310917
vulnerable_pct_communication,services_per_10000_population,456,0.1109626884640752,0.01513026368592833
vulnerable_pct_communication,approved_places_per_10000_population,456,-0.07288569075947432,-0.06216056913968381
vulnerable_pct_communication,services_per_1000_valid_aedc_dv2_scores,456,-0.05645839516615368,-0.12051850650928769
vulnerable_pct_communication,approved_places_per_1000_valid_aedc_dv2_scores,456,-0.18739036550478186,-0.1574129909808926
vulnerable_pct_communication,pct_high_quality_services,449,-0.09340713168369315,-0.09198365043676486
vulnerable_pct_communication,pct_below_meeting_nqs_services,449,0.11558253281178975,0.14849458442027283
vulnerable_pct_communication,mean_nearest_transport_distance_km,449,0.3743628137730155,0.16753791736720608
vulnerable_pct_communication,median_nearest_transport_distance_km,449,0.35840093591362865,0.11922760856605197
vulnerable_pct_communication,pct_within_1km_any_transport,449,-0.07129892746274903,-0.06180338524190609
vulnerable_pct_communication,pct_farther_than_5km_any_transport,449,0.17168355398106072,0.1092231456010723
